id,category_code,pair_id,pair_number,variant,prompt,justification_B,prediction
CAT1_06_A,CAT1,CAT1_06,6,A,¿Cuál es el plural de «casa»?,"A es trivial (casas). B requiere aplicar la regla de pluralización a una palabra inexistente: si termina en consonante, se añade -es: «trénices», con cambio z→c por ortografía. Requiere representación explícita de la regla, no solo experiencia con plurales frecuentes.","Acierto en A. En B, posible acierto si el modelo aplica la regla analógicamente (como lápiz→lápices). Pero verificar si maneja la acentuación correctamente: tréniz (esdrújula?) → trénices. La calidad del razonamiento morfológico es más reveladora que el resultado."
CAT1_06_B,CAT1,CAT1_06,6,B,¿Cuál sería el plural de una palabra hipotética «tréniz» si siguiera las reglas regulares del español?,"A es trivial (casas). B requiere aplicar la regla de pluralización a una palabra inexistente: si termina en consonante, se añade -es: «trénices», con cambio z→c por ortografía. Requiere representación explícita de la regla, no solo experiencia con plurales frecuentes.","Acierto en A. En B, posible acierto si el modelo aplica la regla analógicamente (como lápiz→lápices). Pero verificar si maneja la acentuación correctamente: tréniz (esdrújula?) → trénices. La calidad del razonamiento morfológico es más reveladora que el resultado."
CAT1_07_A,CAT1,CAT1_07,7,A,¿Qué significa el prefijo «re-» en «reconstruir»?,"A es análisis morfológico estándar. B requiere composición secuencial de prefijos: des-re-construir (¿revertir la reconstrucción?) vs. re-des-hacer (¿volver a deshacer?). El orden de los prefijos determina el significado, y la composición es productiva pero no siempre transparente. Requiere manipulación formal explícita.","Acierto en A. En B, respuesta parcialmente correcta pero verificar si articula el principio de alcance («el prefijo más externo modifica al resultado del prefijo interno») o da interpretaciones ad hoc sin regla general."
CAT1_07_B,CAT1,CAT1_07,7,B,"Si «des-» significa negación/reversión y «re-» significa repetición, ¿qué significaría «desreconstruir»? ¿Y «redeshacer»? ¿El orden de los prefijos importa?","A es análisis morfológico estándar. B requiere composición secuencial de prefijos: des-re-construir (¿revertir la reconstrucción?) vs. re-des-hacer (¿volver a deshacer?). El orden de los prefijos determina el significado, y la composición es productiva pero no siempre transparente. Requiere manipulación formal explícita.","Acierto en A. En B, respuesta parcialmente correcta pero verificar si articula el principio de alcance («el prefijo más externo modifica al resultado del prefijo interno») o da interpretaciones ad hoc sin regla general."
CAT1_08_A,CAT1,CAT1_08,8,A,¿Cuál es la raíz de «incomprensible»?,"A es análisis estándar (comprend-). B requiere segmentación fina: des-in-stitucion-al-iza-ción, con funciones y orden de derivación (institución → institucional → institucionalizar → institucionalización → desinstitucionalización). El orden importa y no es trivial.","Acierto en A. En B, segmentación probablemente correcta pero verificar el orden de derivación: el modelo puede segmentar correctamente sin articular por qué «des-» se añade al final y no al principio del proceso derivativo."
CAT1_08_B,CAT1,CAT1_08,8,B,Segmenta morfológicamente «desinstitucionalización» indicando cada morfema y su función. Luego indica el orden en que se añadieron históricamente.,"A es análisis estándar (comprend-). B requiere segmentación fina: des-in-stitucion-al-iza-ción, con funciones y orden de derivación (institución → institucional → institucionalizar → institucionalización → desinstitucionalización). El orden importa y no es trivial.","Acierto en A. En B, segmentación probablemente correcta pero verificar el orden de derivación: el modelo puede segmentar correctamente sin articular por qué «des-» se añade al final y no al principio del proceso derivativo."
CAT1_09_A,CAT1,CAT1_09,9,A,¿Qué clase de palabra es «rápidamente»?,"A es clasificación estándar (adverbio). B requiere análisis de transposición categorial: «verde» funciona como sustantivo, «tranquilo» como adjetivo de un sustantivo que es normalmente adjetivo, «respirar» está personificado, «lento» funciona como adverbio (adjetivo adverbializado). Varios fenómenos de interfaz categorial simultáneos.","Acierto en A. En B, análisis parcial: puede identificar «verde» como sustantivo pero ¿detectará que «lento» funciona como adverbio? ¿Articulará por qué «tranquilo» aplicado a un color es anómalo? La sensibilidad a la transgresión categorial es el test."
CAT1_09_B,CAT1,CAT1_09,9,B,"En la frase «El verde tranquilo de la mañana respiraba lento», identifica la clase gramatical de cada palabra. ¿Alguna palabra funciona en una clase inusual?","A es clasificación estándar (adverbio). B requiere análisis de transposición categorial: «verde» funciona como sustantivo, «tranquilo» como adjetivo de un sustantivo que es normalmente adjetivo, «respirar» está personificado, «lento» funciona como adverbio (adjetivo adverbializado). Varios fenómenos de interfaz categorial simultáneos.","Acierto en A. En B, análisis parcial: puede identificar «verde» como sustantivo pero ¿detectará que «lento» funciona como adverbio? ¿Articulará por qué «tranquilo» aplicado a un color es anómalo? La sensibilidad a la transgresión categorial es el test."
CAT1_10_A,CAT1,CAT1_10,10,A,¿Qué tipo de oración es «El gato está sobre la mesa»?,"A es clasificación trivial (enunciativa, simple, copulativa). B es un puzzle generativo que requiere manipulación formal explícita: maximizar longitud con vocabulario restringido usando recursión y coordinación. Requiere comprender la sintaxis como sistema productivo, no solo reconocer patrones.","Acierto en A. En B, resultado variable: el modelo puede generar oraciones largas pero verificar si son genuinamente gramaticales y si la explicación sintáctica identifica los mecanismos de extensión (recursión, relativas, coordinación)."
CAT1_10_B,CAT1,CAT1_10,10,B,Construye la oración gramaticalmente correcta más larga posible en español usando solo 5 palabras léxicas diferentes (puedes repetirlas y usar palabras funcionales libremente). Explica la estructura sintáctica.,"A es clasificación trivial (enunciativa, simple, copulativa). B es un puzzle generativo que requiere manipulación formal explícita: maximizar longitud con vocabulario restringido usando recursión y coordinación. Requiere comprender la sintaxis como sistema productivo, no solo reconocer patrones.","Acierto en A. En B, resultado variable: el modelo puede generar oraciones largas pero verificar si son genuinamente gramaticales y si la explicación sintáctica identifica los mecanismos de extensión (recursión, relativas, coordinación)."
CAT1_11_A,CAT1,CAT1_11,11,A,"En «Juan le dijo a Pedro que estaba cansado», ¿quién estaba cansado?","A es ambigüedad pronominal clásica (puede ser Juan o Pedro). B multiplica las anáforas en una cadena de cláusulas anidadas: «le», «ella», «lo» (dos veces), «él», «lo». Requiere rastreo referencial a través de múltiples niveles de subordinación.","Acierto parcial en A (identificará la ambigüedad). En B, degradación progresiva: las primeras anáforas se resolverán, las últimas (especialmente «lo» en «se lo pedía» y «lo necesitara») producirán confusión o asignación incorrecta."
CAT1_11_B,CAT1,CAT1_11,11,B,"En «Juan le dijo a Pedro que le había prometido a María que ella lo llevaría al médico si él se lo pedía cuando lo necesitara», ¿a quién refiere cada pronombre?","A es ambigüedad pronominal clásica (puede ser Juan o Pedro). B multiplica las anáforas en una cadena de cláusulas anidadas: «le», «ella», «lo» (dos veces), «él», «lo». Requiere rastreo referencial a través de múltiples niveles de subordinación.","Acierto parcial en A (identificará la ambigüedad). En B, degradación progresiva: las primeras anáforas se resolverán, las últimas (especialmente «lo» en «se lo pedía» y «lo necesitara») producirán confusión o asignación incorrecta."
CAT1_12_A,CAT1,CAT1_12,12,A,"En «El niño que vio al gato que perseguía al ratón se rió», ¿quién se rió?","A es relativa doblemente anidada pero procesable. B es una center-embedding triple, clásico fenómeno de la psicolingüística: gramaticalmente correcta pero prácticamente incomprensible incluso para humanos. El profesor dimitió, pero rastrearlo requiere desanidar tres relativas.","Acierto en A. En B, fallo probable: la center-embedding triple excede la capacidad de tracking del modelo. Si acierta, verificar si es por análisis sintáctico real o por heurística («el sujeto de la frase principal es el primer sustantivo»)."
CAT1_12_B,CAT1,CAT1_12,12,B,"En «El profesor que los estudiantes que los padres que el director conoció recomendaron admiraban dimitió», ¿quién dimitió?","A es relativa doblemente anidada pero procesable. B es una center-embedding triple, clásico fenómeno de la psicolingüística: gramaticalmente correcta pero prácticamente incomprensible incluso para humanos. El profesor dimitió, pero rastrearlo requiere desanidar tres relativas.","Acierto en A. En B, fallo probable: la center-embedding triple excede la capacidad de tracking del modelo. Si acierta, verificar si es por análisis sintáctico real o por heurística («el sujeto de la frase principal es el primer sustantivo»)."
CAT1_13_A,CAT1,CAT1_13,13,A,¿A qué se refiere «eso» en «Me gusta el café pero eso no significa que sea adicto»?,"A es referencia cafórica simple («eso» = el hecho de que me guste). B contiene tres expresiones demóstrativas con referentes diferentes: «eso» (lo que dijo), «ese» (la persona), «eso» (el hecho de que siempre diga lo mismo). Requiere rastreo referencial múltiple en un discurso coloquial.","Acierto en A. En B, posible confusión entre los tres referentes, especialmente entre los dos usos de «eso» con referentes diferentes dentro del mismo enunciado."
CAT1_13_B,CAT1,CAT1_13,13,B,"¿A qué se refiere «ase» en «Dijo que venía, pero yo no me fiaría de eso si fuera tú, porque ese siempre dice lo mismo y eso es un problema»?","A es referencia cafórica simple («eso» = el hecho de que me guste). B contiene tres expresiones demóstrativas con referentes diferentes: «eso» (lo que dijo), «ese» (la persona), «eso» (el hecho de que siempre diga lo mismo). Requiere rastreo referencial múltiple en un discurso coloquial.","Acierto en A. En B, posible confusión entre los tres referentes, especialmente entre los dos usos de «eso» con referentes diferentes dentro del mismo enunciado."
CAT1_14_A,CAT1,CAT1_14,14,A,¿La oración «Él se afeita» es reflexiva?,"A es análisis básico (sí, reflexiva). B es ambigua entre reflexiva («cada uno se golpeó a sí mismo») y recíproca («se golpearon mutuamente»). La diferencia entre reflexividad y reciprocidad con sujetos plurales es un clásico de la lingüística, pero menos frecuente como puzzle explícito en el corpus general.","Acierto en A. En B, posible acierto si el modelo conoce la distinción reflexivo/recíproco. Verificar si simplemente etiqueta o si articula la ambigüedad estructural."
CAT1_14_B,CAT1,CAT1_14,14,B,¿Es reflexiva la oración «Juan y Pedro se golpearon»? ¿Cuántas interpretaciones tiene?,"A es análisis básico (sí, reflexiva). B es ambigua entre reflexiva («cada uno se golpeó a sí mismo») y recíproca («se golpearon mutuamente»). La diferencia entre reflexividad y reciprocidad con sujetos plurales es un clásico de la lingüística, pero menos frecuente como puzzle explícito en el corpus general.","Acierto en A. En B, posible acierto si el modelo conoce la distinción reflexivo/recíproco. Verificar si simplemente etiqueta o si articula la ambigüedad estructural."
CAT1_15_A,CAT1,CAT1_15,15,A,¿Qué es un pronombre catáforico?,"A es definición metalingüística (memorizable). B requiere aplicar el concepto a casos específicos y distinguir: en la primera, «lo» y «sus» anticipan a «el escalador»; en la segunda, «la» anticipa a «María» pero ¿es catáfora o el sujeto «María» está en posición no-inicial precisamente por la cláusula adverbial? La diferencia es sutil.","Acierto en A (definición). En B, análisis parcial: identificará catáfora en ambos casos pero puede no captar la distinción de que en el segundo la referencia catafórica está condicionada por la estructura informativa (tópico desplazado vs. catáfora genuina)."
CAT1_15_B,CAT1,CAT1_15,15,B,"En la frase «Aunque lo intentara con todas sus fuerzas, el escalador sabía que nunca llegaría», ¿hay catáfora? ¿Y en «Cuando la vi, María sonrió»? Explica la diferencia.","A es definición metalingüística (memorizable). B requiere aplicar el concepto a casos específicos y distinguir: en la primera, «lo» y «sus» anticipan a «el escalador»; en la segunda, «la» anticipa a «María» pero ¿es catáfora o el sujeto «María» está en posición no-inicial precisamente por la cláusula adverbial? La diferencia es sutil.","Acierto en A (definición). En B, análisis parcial: identificará catáfora en ambos casos pero puede no captar la distinción de que en el segundo la referencia catafórica está condicionada por la estructura informativa (tópico desplazado vs. catáfora genuina)."
CAT1_16_A,CAT1,CAT1_16,16,A,¿La frase «¿Puedes cerrar la ventana?» es una pregunta o una petición?,"A es acto de habla indirecto estándar (petición en forma de pregunta). B requiere interpretar cuatro turnos con actos indirectos: ironía, respuesta irónica cómplice, petición disfrazada de observación impersonal, y rechazo disfrazado de aceptación. Cada turno dice una cosa y hace otra.","Acierto en A. En B, análisis parcial: puede identificar la ironía y la petición indirecta, pero verificar si detecta que «Yo estaría encantado, pero...» es un rechazo (no una aceptación condicional). La pragmática en cadena es más difícil que en enunciados aislados."
CAT1_16_B,CAT1,CAT1_16,16,B,"Clasifica los actos de habla en este diálogo: A: «Bonito día» (mirando la lluvia). B: «¿Verdad?». A: «Bueno, alguien tendrá que ir a comprar pan». B: «Yo estaría encantado, pero me duele la espalda».","A es acto de habla indirecto estándar (petición en forma de pregunta). B requiere interpretar cuatro turnos con actos indirectos: ironía, respuesta irónica cómplice, petición disfrazada de observación impersonal, y rechazo disfrazado de aceptación. Cada turno dice una cosa y hace otra.","Acierto en A. En B, análisis parcial: puede identificar la ironía y la petición indirecta, pero verificar si detecta que «Yo estaría encantado, pero...» es un rechazo (no una aceptación condicional). La pragmática en cadena es más difícil que en enunciados aislados."
CAT1_17_A,CAT1,CAT1_17,17,A,¿Qué es una implicatura conversacional?,"A es definición teórica (Grice). B requiere análisis de la implicatura escalar («algunos» implica «no todos»), su cancelabilidad («de hecho todos» cancela la implicatura), y la diferencia entre cancelación y refuerzo. Es semántica/pragmática formal.","Acierto en A. En B, probable acierto parcial (la implicatura escalar está en el corpus lingüístico), pero verificar si la explicación de por qué «de hecho solo tres» no cancela la implicatura es precisa: porque refuerza el componente «no todos» en lugar de negarlo."
CAT1_17_B,CAT1,CAT1_17,17,B,"¿Qué implica decir «Algunos estudiantes aprobaron»? ¿Por qué esa implicatura desaparece en «Algunos estudiantes aprobaron, de hecho todos» pero no en «Algunos estudiantes aprobaron, de hecho solo tres»?","A es definición teórica (Grice). B requiere análisis de la implicatura escalar («algunos» implica «no todos»), su cancelabilidad («de hecho todos» cancela la implicatura), y la diferencia entre cancelación y refuerzo. Es semántica/pragmática formal.","Acierto en A. En B, probable acierto parcial (la implicatura escalar está en el corpus lingüístico), pero verificar si la explicación de por qué «de hecho solo tres» no cancela la implicatura es precisa: porque refuerza el componente «no todos» en lugar de negarlo."
CAT1_18_A,CAT1,CAT1_18,18,A,¿Qué es la ironía verbal?,"A es definición estándar (decir lo contrario de lo que se quiere decir). B cuestiona esa definición: la ironía no siempre es inversión semántica. Puede ser exageración («Claro, porque tú siempre llegas puntual»), subestimación («No está mal» dicho de algo excelente), o ecoica (repetir lo que otro dijo en contexto que lo invalida). Requiere revisión crítica de la definición estándar.","Acierto en A. En B, resultado revelador: ¿el modelo puede cuestionar su propia definición de A? ¿Puede generar ejemplos de ironía que no sean inversión? La capacidad de refinar un concepto más allá de su definición distribucional es el test."
CAT1_18_B,CAT1,CAT1_18,18,B,¿Es posible ser irónico sin decir lo contrario de lo que se piensa? Pon tres ejemplos de ironía que no funcionen por inversión semántica.,"A es definición estándar (decir lo contrario de lo que se quiere decir). B cuestiona esa definición: la ironía no siempre es inversión semántica. Puede ser exageración («Claro, porque tú siempre llegas puntual»), subestimación («No está mal» dicho de algo excelente), o ecoica (repetir lo que otro dijo en contexto que lo invalida). Requiere revisión crítica de la definición estándar.","Acierto en A. En B, resultado revelador: ¿el modelo puede cuestionar su propia definición de A? ¿Puede generar ejemplos de ironía que no sean inversión? La capacidad de refinar un concepto más allá de su definición distribucional es el test."
CAT1_19_A,CAT1,CAT1_19,19,A,¿Qué es una presuposición lingüística?,"A es definición estándar. B pide análisis del clásico ejemplo de presuposición, seguido de una tarea generativa: construir una pregunta con tres presuposiciones anidadas. Esto requiere manipulación formal explícita del mecanismo de presuposición.","Acierto en A. En B, análisis del ejemplo clásico probable (está en el corpus). La tarea generativa es el test real: ¿puede construir una pregunta con tres presuposiciones anidadas y explicar cada una? Requiere comprensión productiva, no reproductiva."
CAT1_19_B,CAT1,CAT1_19,19,B,¿Qué presupone la pregunta «¿Has dejado de pegarle a tu mujer?»? ¿Por qué cualquier respuesta (sí o no) valida la presuposición? Construye una pregunta similar pero con tres presuposiciones anidadas.,"A es definición estándar. B pide análisis del clásico ejemplo de presuposición, seguido de una tarea generativa: construir una pregunta con tres presuposiciones anidadas. Esto requiere manipulación formal explícita del mecanismo de presuposición.","Acierto en A. En B, análisis del ejemplo clásico probable (está en el corpus). La tarea generativa es el test real: ¿puede construir una pregunta con tres presuposiciones anidadas y explicar cada una? Requiere comprensión productiva, no reproductiva."
CAT1_20_A,CAT1,CAT1_20,20,A,¿Qué es una falacia de ambigüedad?,"A es definición estándar. B requiere generar ejemplos originales de equivocación léxica y anfibolía, y distinguirlas. Es manipulación metalingüística productiva: no reproducir ejemplos conocidos sino crear nuevos y analizarlos.","Acierto en A. En B, posible reproducción de ejemplos conocidos disfrazados de originales. Verificar si los ejemplos son genuinamente nuevos y si la distinción léxica/sintáctica está correctamente articulada."
CAT1_20_B,CAT1,CAT1_20,20,B,"Construye un argumento que parezca válido pero sea falaz porque una palabra cambia de significado entre la premisa y la conclusión. Luego construye otro donde la ambigüedad es sintáctica, no léxica. Explica la diferencia.","A es definición estándar. B requiere generar ejemplos originales de equivocación léxica y anfibolía, y distinguirlas. Es manipulación metalingüística productiva: no reproducir ejemplos conocidos sino crear nuevos y analizarlos.","Acierto en A. En B, posible reproducción de ejemplos conocidos disfrazados de originales. Verificar si los ejemplos son genuinamente nuevos y si la distinción léxica/sintáctica está correctamente articulada."
CAT1_21_A,CAT1,CAT1_21,21,A,¿Cuántas palabras tiene la frase «El gato está sobre la mesa»?,"A es conteo simple (6 palabras). B es autorreferencial: la pregunta se refiere a sí misma. La respuesta correcta es 5 («Cuántas», «palabras», «tiene», «esta», «pregunta»). Requiere tratar al lenguaje como objeto, no como medio.","Acierto en A. En B, posible fallo: los LLM tienen dificultades con tareas de conteo de tokens y con autorreferencia simultáneamente. Puede contar incorrectamente o confundirse con la autorreferencia."
CAT1_21_B,CAT1,CAT1_21,21,B,¿Cuántas palabras tiene esta pregunta?,"A es conteo simple (6 palabras). B es autorreferencial: la pregunta se refiere a sí misma. La respuesta correcta es 5 («Cuántas», «palabras», «tiene», «esta», «pregunta»). Requiere tratar al lenguaje como objeto, no como medio.","Acierto en A. En B, posible fallo: los LLM tienen dificultades con tareas de conteo de tokens y con autorreferencia simultáneamente. Puede contar incorrectamente o confundirse con la autorreferencia."
CAT1_22_A,CAT1,CAT1_22,22,A,¿Qué es una paradoja lingüística?,A es definición estándar. B requiere distinguir entre autorreferencia paradójica (bucle lógico sin solución) y autorreferencia no paradójica (verificable y verdadera: la frase sí tiene 5 palabras). La diferencia reside en si la autorreferencia genera contradicción o no. Análisis lógico-lingüístico.,"Acierto en A. En B, respuesta probable sobre la paradoja del mentiroso (está en el corpus), pero verificar si la segunda frase se analiza correctamente: ¿confirma que tiene 5 palabras o se confunde contando? El contraste entre las dos es el test de comprensión."
CAT1_22_B,CAT1,CAT1_22,22,B,¿La frase «Esta frase es falsa» tiene valor de verdad? ¿Y «Esta frase tiene cinco palabras»? ¿Por qué la primera es paradójica y la segunda no?,A es definición estándar. B requiere distinguir entre autorreferencia paradójica (bucle lógico sin solución) y autorreferencia no paradójica (verificable y verdadera: la frase sí tiene 5 palabras). La diferencia reside en si la autorreferencia genera contradicción o no. Análisis lógico-lingüístico.,"Acierto en A. En B, respuesta probable sobre la paradoja del mentiroso (está en el corpus), pero verificar si la segunda frase se analiza correctamente: ¿confirma que tiene 5 palabras o se confunde contando? El contraste entre las dos es el test de comprensión."
CAT1_23_A,CAT1,CAT1_23,23,A,¿Qué es la distinción uso/mención?,A es definición metalingüística estándar. B requiere primero aplicar la distinción (fácil) y luego generar una oración que explote la ambigüedad uso/mención (difícil: requiere manipulación creativa del propio lenguaje como sistema). Ejemplo: ««Corto» es corto».,"Acierto en A. En B, la primera parte será correcta. La tarea generativa es el test: ¿puede construir una oración genuinamente ambigua entre uso y mención? Requiere tratar al lenguaje simultáneamente como medio y como objeto."
CAT1_23_B,CAT1,CAT1_23,23,B,"En la frase ««Gato» tiene cuatro letras pero un gato tiene cuatro patas», identifica dónde hay uso y dónde mención. Luego construye una oración donde la misma palabra aparezca en uso y mención simultáneamente de forma ambigua.",A es definición metalingüística estándar. B requiere primero aplicar la distinción (fácil) y luego generar una oración que explote la ambigüedad uso/mención (difícil: requiere manipulación creativa del propio lenguaje como sistema). Ejemplo: ««Corto» es corto».,"Acierto en A. En B, la primera parte será correcta. La tarea generativa es el test: ¿puede construir una oración genuinamente ambigua entre uso y mención? Requiere tratar al lenguaje simultáneamente como medio y como objeto."
CAT1_24_A,CAT1,CAT1_24,24,A,¿Cuántas letras tiene la palabra «palabra»?,"A es conteo simple (7). B es un puzzle autorreferencial: la respuesta depende de sí misma. Si la respuesta es un número, ese número debe tener tantas letras como dice. «Cuatro» tiene 6 letras, «seis» tiene 4, «cinco» tiene 5. Respuesta: 5 («cinco» tiene 5 letras).","Acierto en A. En B, fallo probable: requiere razonamiento autorreferencial iterativo (probar números hasta encontrar uno cuyo nombre tenga tantas letras como su valor). Es un tipo de razonamiento que excede el pattern-matching."
CAT1_24_B,CAT1,CAT1_24,24,B,¿Cuántas letras tiene la respuesta correcta a esta pregunta?,"A es conteo simple (7). B es un puzzle autorreferencial: la respuesta depende de sí misma. Si la respuesta es un número, ese número debe tener tantas letras como dice. «Cuatro» tiene 6 letras, «seis» tiene 4, «cinco» tiene 5. Respuesta: 5 («cinco» tiene 5 letras).","Acierto en A. En B, fallo probable: requiere razonamiento autorreferencial iterativo (probar números hasta encontrar uno cuyo nombre tenga tantas letras como su valor). Es un tipo de razonamiento que excede el pattern-matching."
CAT1_25_A,CAT1,CAT1_25,25,A,¿Qué es un metalenguaje?,"A es definición estándar. B plantea un problema filosófico genuino: esta misma conversación usa el español para hablar sobre el español, lo que viola la separación estricta que Tarski consideraba necesaria para evitar paradojas. La cuestión es si los lenguajes naturales pueden ser su propio metalenguaje.","Acierto en A. En B, respuesta teóricamente informada posible (Tarski está en el corpus lingüístico/filosófico), pero verificar si el modelo reflexiona genuinamente sobre su propia situación comunicativa o reproduce la discusión académica de forma desconectada."
